契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,價差對單式委託成交量
TX,202401  ,17838,17920,17751,17798,-72,-0.40%,82827.0,17800,103404,17798,17800,17920,16001,,
TX,202401  ,17871,17878,17766,17826,-44,-0.25%,33681.0,-,-,17826,17828,17900,16001,,
TX,202401  ,17658,17667,17507,17546,-254,-1.43%,97851.0,17545,106526,17546,17549,17920,16001,,
TX,202401  ,17793,17817,17652,17674,-126,-0.71%,51826.0,-,-,17673,17675,17920,16001,,
TX,202401  ,17525,17583,17525,17546,1,0.01%,57402.0,17550,102022,17545,17547,17920,16001,,
TX,202401  ,17544,17585,17479,17536,-9,-0.05%,51903.0,-,-,17536,17537,17920,16001,,
TX,202401  ,17577,17626,17491,17519,-31,-0.18%,77062.0,17518,101818,17516,17519,17920,16001,,
TX,202401  ,17571,17609,17539,17555,5,0.03%,43221.0,-,-,17553,17555,17920,16001,,
TX,202401  ,17572,17706,17568,17595,77,0.44%,86585.0,17595,102591,17595,17596,17920,16001,,
TX,202401  ,17510,17605,17452,17547,29,0.17%,67315.0,-,-,17547,17548,17920,16001,,
TX,202401  ,17770,17782,17526,17545,-50,-0.28%,96286.0,17547,103756,17545,17546,17920,16001,,
TX,202401  ,17595,17774,17535,17767,172,0.98%,55350.0,-,-,17768,17771,17920,16001,,
TX,202401  ,17509,17521,17439,17458,-89,-0.51%,70327.0,17460,102213,17458,17460,17920,16001,,
TX,202401  ,17544,17555,17431,17507,-40,-0.23%,65943.0,-,-,17507,17510,17920,16001,,
TX,202401  ,17490,17606,17481,17575,115,0.66%,86899.0,17570,100653,17573,17574,17920,16001,,
TX,202401  ,17450,17535,17441,17469,9,0.05%,49521.0,-,-,17469,17470,17920,16001,,
TX,202401  ,17466,17570,17447,17489,-81,-0.46%,83946.0,17487,90295,17489,17490,17920,16001,,
TX,202401  ,17571,17595,17397,17485,-85,-0.48%,77602.0,-,-,17488,17490,17920,16001,,
TX,202401  ,17580,17655,17527,17559,72,0.41%,137809.0,17554,59653,17557,17559,17920,16001,,
TX,202401  ,17487,17535,17411,17492,5,0.03%,58099.0,-,-,17491,17493,17920,16001,,
TX,202401  ,17480,17499,17321,17333,-221,-1.26%,123488.0,17333,36428,17333,17335,17920,16001,,
TX,202401  ,17569,17576,17530,17572,18,0.10%,21544.0,-,-,17567,17572,17920,16001,,
TX,202401  ,17313,17344,17159,17167,-166,-0.96%,63464.0,0,23542,17167,17168,17920,16001,,
TX,202401  ,17342,17375,17285,17328,-5,-0.03%,51670.0,-,-,17328,17331,17920,16001,,
TX,202402  ,17240,17326,17215,17280,45,0.26%,90702.0,17282,79622,17279,17282,17906,17148,,
TX,202402  ,17204,17244,17162,17225,-10,-0.06%,50413.0,-,-,17224,17227,17906,17148,,
TX,202402  ,17541,17684,17504,17678,396,2.29%,111839.0,17674,82596,17676,17678,17906,17148,,
TX,202402  ,17376,17516,17333,17515,233,1.35%,85732.0,-,-,17514,17515,17906,17148,,
TX,202402  ,17816,17843,17747,17817,143,0.81%,83035.0,17815,80566,17816,17818,17906,17148,,
TX,202402  ,17685,17779,17650,17779,105,0.59%,67007.0,-,-,17773,17779,17906,17148,,
TX,202402  ,17799,17877,17790,17870,55,0.31%,77256.0,17868,81014,17870,17873,17906,17148,,
TX,202402  ,17802,17834,17766,17787,-28,-0.16%,39900.0,-,-,17787,17791,17906,17148,,
TX,202402  ,17903,17941,17876,17903,35,0.20%,65654.0,17896,79857,17899,17903,17941,17148,,
TX,202402  ,17879,17937,17863,17926,58,0.32%,43514.0,-,-,17921,17923,17937,17148,,
TX,202402  ,18016,18030,17935,17995,99,0.55%,74949.0,17997,81602,17996,17998,18090,17148,,
TX,202402  ,17915,18090,17903,18012,116,0.65%,61551.0,-,-,18012,18014,18090,17148,,
TX,202402  ,17951,18023,17936,17999,2,0.01%,65973.0,17999,81748,17999,18000,18090,17148,,
TX,202402  ,18009,18078,17982,18028,31,0.17%,49911.0,-,-,18024,18028,18090,17148,,
TX,202402  ,18011,18135,17970,18125,126,0.70%,73311.0,18123,84626,18124,18125,18135,17148,,
TX,202402  ,17992,18061,17960,18018,19,0.11%,49342.0,-,-,18018,18021,18090,17148,,
TX,202402  ,18129,18139,18064,18081,-42,-0.23%,63313.0,18081,80335,18081,18082,18152,17148,,
TX,202402  ,18126,18152,18058,18115,-8,-0.04%,44540.0,-,-,18116,18117,18152,17148,,
TX,202402  ,17990,18003,17904,17920,-161,-0.89%,78949.0,17921,78494,17921,17923,18152,17148,,
TX,202402  ,18063,18066,17997,18041,-40,-0.22%,41792.0,-,-,18036,18041,18152,17148,,
TX,202402  ,17956,17994,17882,17986,65,0.36%,82846.0,17985,79266,17986,17987,18152,17148,,
TX,202402  ,17915,18044,17892,17898,-23,-0.13%,67540.0,-,-,17901,17902,18152,17148,,
TX,202402  ,18100,18105,18023,18084,99,0.55%,64193.0,18084,79503,18084,18086,18152,17148,,
TX,202402  ,17966,18061,17951,18054,69,0.38%,49266.0,-,-,18050,18053,18152,17148,,
TX,202402  ,18008,18102,17958,18086,2,0.01%,72290.0,18085,76564,18085,18086,18152,17148,,
TX,202402  ,18080,18084,17985,18058,-26,-0.14%,53437.0,-,-,18052,18057,18152,17148,,
TX,202402  ,18590,18696,18531,18667,582,3.22%,112201.0,18666,76320,18665,18667,18696,17148,,
TX,202402  ,18086,18107,18026,18104,19,0.11%,30127.0,-,-,18104,18105,18152,17148,,
TX,202402  ,18683,18726,18633,18634,-32,-0.17%,65410.0,18639,71159,18632,18635,18727,17148,,
TX,202402  ,18666,18727,18657,18705,39,0.21%,34402.0,-,-,18702,18705,18727,17148,,
TX,202402  ,18680,18692,18619,18671,32,0.17%,80197.0,18669,51848,18671,18673,18727,17148,,
TX,202402  ,18636,18683,18618,18641,2,0.01%,34323.0,-,-,18639,18640,18727,17148,,
TX,202402  ,18634,18754,18596,18753,84,0.45%,86334.0,18751,29534,18752,18754,18754,17148,,
TX,202402  ,18678,18678,18649,18656,-13,-0.07%,10352.0,-,-,18656,18661,18727,17148,,
TX,202402  ,18738,18750,18659,18670,-81,-0.43%,41207.0,0,14640,18670,18671,18817,17148,,
TX,202402  ,18773,18817,18708,18756,5,0.03%,36954.0,-,-,18754,18757,18817,17148,,
TX,202403  ,18887,18890,18751,18889,196,1.05%,84610.0,18886,74973,18887,18889,18890,14451,,
TX,202403  ,18692,18717,18670,18715,22,0.12%,34096.0,-,-,18713,18715,18819,14451,,
TX,202403  ,18990,19000,18898,18913,27,0.14%,80858.0,18912,75413,18912,18913,19004,14451,,
TX,202403  ,18888,19004,18888,19003,117,0.62%,45956.0,-,-,19002,19003,19004,14451,,
TX,202403  ,18907,18996,18853,18963,51,0.27%,68087.0,18964,77674,18963,18965,19004,14451,,
TX,202403  ,18917,18948,18874,18926,14,0.07%,38104.0,-,-,18926,18930,19004,14451,,
TX,202403  ,18950,19020,18750,18867,-97,-0.51%,120451.0,18870,76800,18866,18868,19020,14451,,
TX,202403  ,18968,18993,18956,18968,4,0.02%,27970.0,-,-,18963,18969,19004,14451,,
TX,202403  ,18808,18997,18805,18966,96,0.51%,84818.0,18961,77669,18963,18967,19020,14451,,
TX,202403  ,18871,18929,18870,18881,11,0.06%,29799.0,-,-,18881,18892,19020,14451,,
TX,202403  ,18968,19017,18924,18961,0,0.00%,75198.0,18961,76059,18961,18962,19020,14451,,
TX,202403  ,18961,19000,18891,18954,-7,-0.04%,52330.0,-,-,18953,18960,19020,14451,,
TX,202403  ,19144,19340,19137,19314,353,1.86%,97821.0,19311,78964,19313,19314,19340,14451,,
TX,202403  ,18970,19175,18912,19124,163,0.86%,65005.0,-,-,19124,19127,19175,14451,,
TX,202403  ,19362,19436,19305,19389,78,0.40%,83640.0,19390,78397,19389,19390,19437,14451,,
TX,202403  ,19314,19437,19312,19377,66,0.34%,54617.0,-,-,19375,19377,19437,14451,,
TX,202403  ,19282,19523,19271,19509,119,0.61%,96101.0,19507,77454,19508,19509,19523,14451,,
TX,202403  ,19371,19387,19217,19267,-123,-0.63%,54051.0,-,-,19270,19274,19437,14451,,
TX,202403  ,19688,19770,19584,19709,202,1.04%,122063.0,19702,75980,19706,19709,19770,14451,,
TX,202403  ,19521,19767,19488,19695,188,0.96%,77534.0,-,-,19695,19699,19767,14451,,
TX,202403  ,19930,20009,19638,19791,89,0.45%,172140.0,19794,74424,19791,19793,20009,14451,,
TX,202403  ,19693,19972,19647,19949,247,1.25%,84320.0,-,-,19946,19950,19972,14451,,
TX,202403  ,19691,19825,19679,19715,-79,-0.40%,97483.0,19716,72175,19714,19717,20009,14451,,
TX,202403  ,19790,19992,19665,19719,-75,-0.38%,125394.0,-,-,19717,19722,20009,14451,,
TX,202403  ,19714,19956,19698,19955,239,1.21%,91498.0,19954,75208,19955,19956,20009,14451,,
TX,202403  ,19722,19772,19655,19678,-38,-0.19%,59671.0,-,-,19676,19678,20009,14451,,
TX,202403  ,19994,20064,19886,19927,-27,-0.14%,111450.0,19928,74018,19926,19927,20064,14451,,
TX,202403  ,19956,20005,19865,19991,37,0.19%,80635.0,-,-,19989,19990,20009,14451,,
TX,202403  ,19897,19978,19799,19939,11,0.06%,108905.0,19940,75728,19940,19941,20064,14451,,
TX,202403  ,19932,19958,19830,19883,-45,-0.23%,42778.0,-,-,19874,19883,20064,14451,,
TX,202403  ,19828,19873,19723,19730,-210,-1.05%,109827.0,19728,74667,19729,19731,20064,14451,,
TX,202403  ,19959,19966,19808,19859,-81,-0.41%,48254.0,-,-,19856,19863,20064,14451,,
TX,202403  ,19778,19920,19747,19919,191,0.97%,100312.0,19914,54819,19914,19919,20064,14451,,
TX,202403  ,19733,19798,19710,19754,26,0.13%,46939.0,-,-,19750,19755,20064,14451,,
TX,202403  ,19816,19911,19739,19867,-47,-0.24%,106964.0,19867,33641,19867,19870,20064,14451,,
TX,202403  ,19917,19965,19840,19869,-45,-0.23%,43370.0,-,-,19865,19869,20064,14451,,
TX,202403  ,19860,19956,19731,19747,-120,-0.60%,70463.0,0,21160,19747,19748,20064,14451,,
TX,202403  ,19880,19887,19760,19857,-10,-0.05%,41095.0,-,-,19854,19857,20064,14451,,
TX,202404  ,20048,20264,20029,20264,431,2.17%,110169.0,20260,74326,20263,20264,20264,17220,,
TX,202404  ,19838,20001,19831,19982,149,0.75%,53748.0,-,-,19982,19989,20056,17220,,
TX,202404  ,20226,20285,20122,20242,-18,-0.09%,94477.0,20240,69360,20241,20246,20358,17220,,
TX,202404  ,20275,20358,20181,20206,-54,-0.27%,70467.0,-,-,20205,20210,20358,17220,,
TX,202404  ,20256,20307,20188,20231,-9,-0.04%,72613.0,20229,69854,20229,20233,20358,17220,,
